name,typ,node,maxcap,marginal_cost,mincap,var_om,no_load,st_cost,ramp,minup,mindn
SNYDER,ngcc,bus_1004,153.89999999999995,19.59,46.17,3,461.6999999999998,10772.999999999996,153.89999999999995,4,4
MONAHANS,ngcc,bus_1048,918.6,18.288000000000004,275.58,3,2755.8,64302.0,918.6,4,4
MONAHANS_2,ngcc,bus_1081,178.8,18.25,53.64,3,536.4000000000001,12516.0,178.8,4,4
ODESSA,ngcc,bus_1081,286.5,19.0,85.95,3,859.5,20055.0,286.5,4,4
ODESSA_3,ngcc,bus_1001,1343.78,18.175,403.13999999999993,3,4031.34,94064.59999999999,1343.78,4,4
ODESSA_4,ngcc,bus_3048,95.5,17.68,28.65,3,286.5,6685.0,95.5,4,4
SILVER,ngcc,bus_3048,90.7,19.545,27.21,3,272.1,6349.0,90.7,4,4
PALOPINTO,ngcc,bus_3048,481.6,16.72,144.48000000000005,3,1444.8000000000002,33712.0,481.6,4,4
SAVOY,ngcc,bus_2004,1175.4,28.58,352.62,3,3526.2000000000003,82278.0,1175.4,4,4
PARIS,ngcc,bus_8129,1173.6,17.714285714285708,352.0499999999999,3,3520.7999999999997,82152.0,1173.6,4,4
GREENVILLE,ngcc,bus_8129,84.7,17.15,25.41,3,254.10000000000002,5929.0,84.7,4,4
MOUNTPLEASANT,coal,bus_8129,1980.0,18.36,594.0,4,5940.0,138600.0,653.4,12,12
WICHITAFALLS,coal,bus_2057,806.0,16.918,241.8,4,2418.0,56420.0,265.98,12,12
DENTON,ngcc,bus_5175,128.1,16.355,38.43,3,384.29999999999995,8967.0,128.1,4,4
SHERMAN,ngcc,bus_2103,803.19,27.34,240.96,3,2409.57,56223.3,803.19,4,4
PARIS_5,ngcc,bus_2115,184.72,17.83,55.41,3,554.16,12930.4,184.72,4,4
SILVER_6,ngcc,bus_3045,447.0,22.67,134.1,3,1341.0,31290.0,447.0,4,4
BASTROP,ngcc,bus_6349,1233.99,18.215999999999998,370.2,3,3701.9700000000003,86379.3,1233.99,4,4
CHRISTINE,coal,bus_4026,410.0,18.14,123.0,4,1230.0,28700.0,135.3,12,12
FANNIN,coal,bus_4030,622.4,18.63,186.72,4,1867.1999999999998,43568.0,205.392,12,12
SANTAROSA,coal,bus_4194,200.5,17.22666666666667,60.14999999999999,4,601.5,14035.0,66.165,12,12
BISHOP,ngcc,bus_4020,44.2,16.81,13.26,3,132.60000000000002,3094.0,44.2,4,4
CORPUSCHRISTI,ngcc,bus_4020,47.0,16.83,14.1,3,141.0,3290.0,47.0,4,4
GREGORY,ngcc,bus_4181,776.6600000000002,17.555999999999997,233.0,3,2329.9800000000005,54366.20000000001,776.6600000000002,4,4
CORPUSCHRISTI_7,ngcc,bus_4181,602.3100000000002,17.525,180.69,3,1806.9300000000005,42161.70000000001,602.3100000000002,4,4
GREGORY_8,ngcc,bus_4061,172.33,17.67,51.7,3,516.99,12063.1,172.33,4,4
MISSION,ngcc,bus_4075,176.33,29.63,52.9,3,528.99,12343.1,176.33,4,4
MISSION_9,ngcc,bus_4040,352.66,29.63,105.8,3,1057.98,24686.2,352.66,4,4
CORPUSCHRISTI_10,ngcc,bus_4085,1082.2,18.33,324.66,3,3246.6000000000004,75754.0,1082.2,4,4
LAREDO,ngcc,bus_4115,131.8,29.13,39.54,3,395.40000000000003,9226.0,131.8,4,4
LAREDO_11,ngcc,bus_4190,131.8,29.13,39.54,3,395.40000000000003,9226.0,131.8,4,4
PEARSALL,ngcc,bus_4137,267.6,28.155,80.28,3,802.8000000000001,18732.0,267.6,4,4
BROWNSVILLE,ngcc,bus_4193,1522.71,17.535999999999998,456.81,3,4568.13,106589.7,1522.71,4,4
ALEDO,ngcc,bus_5022,4.8,15.97,1.44,3,14.399999999999999,336.0,4.8,4,4
