name,typ,node,maxcap,marginal_cost,mincap,var_om,no_load,st_cost,ramp,minup,mindn
ODESSA,ngcc,bus_5262,95.5,17.68,28.65,3,286.5,6685.0,95.5,4,4
WICHITAFALLS,coal,bus_5262,806.0,16.918,241.8,4,2418.0,56420.0,265.98,12,12
SILVER,ngcc,bus_5262,537.7,20.586666666666673,161.31,3,1613.1000000000001,37639.0,537.7,4,4
GRAHAM,ngcc,bus_5262,317.35,17.99,95.2,3,952.0500000000001,22214.5,317.35,4,4
GRANBURY,ngcc,bus_5262,883.1999999999998,17.716666666666665,264.96,3,2649.5999999999995,61823.999999999985,883.1999999999998,4,4
PALOPINTO,ngcc,bus_5262,603.6,16.722,181.08,3,1810.8000000000002,42252.0,603.6,4,4
ODESSA_2,ngcc,bus_1001,1343.78,18.175,403.13999999999993,3,4031.34,94064.59999999999,1343.78,4,4
MONAHANS,ngcc,bus_1081,178.8,18.25,53.64,3,536.4000000000001,12516.0,178.8,4,4
ODESSA_3,ngcc,bus_1081,286.5,19.0,85.95,3,859.5,20055.0,286.5,4,4
MONAHANS_4,ngcc,bus_1048,918.6,18.288000000000004,275.58,3,2755.8,64302.0,918.6,4,4
SAVOY,ngcc,bus_2004,1175.4,28.58,352.62,3,3526.2000000000003,82278.0,1175.4,4,4
SHERMAN,ngcc,bus_2004,803.19,27.34,240.96,3,2409.57,56223.3,803.19,4,4
PARIS,ngcc,bus_8129,1173.6,17.714285714285708,352.0499999999999,3,3520.7999999999997,82152.0,1173.6,4,4
GREENVILLE,ngcc,bus_8129,84.7,17.15,25.41,3,254.10000000000002,5929.0,84.7,4,4
MTENTERPRISE,ngcc,bus_8129,939.6,16.6,281.88,3,2818.8,65772.0,939.6,4,4
MOUNTPLEASANT,coal,bus_8129,1980.0,18.36,594.0,4,5940.0,138600.0,653.4,12,12
DENTON,ngcc,bus_5007,128.1,16.355,38.43,3,384.29999999999995,8967.0,128.1,4,4
PARIS_5,ngcc,bus_2115,184.72,17.83,55.41,3,554.16,12930.4,184.72,4,4
BASTROP,ngcc,bus_6349,1233.99,18.215999999999998,370.2,3,3701.9700000000003,86379.3,1233.99,4,4
CEDARCREEK,ngcc,bus_6349,618.6899999999998,17.95,185.64,3,1856.0699999999995,43308.29999999999,618.6899999999998,4,4
MISSION,ngcc,bus_4040,528.99,29.63,158.7,3,1586.97,37029.3,528.99,4,4
CHRISTINE,coal,bus_6236,410.0,18.14,123.0,4,1230.0,28700.0,135.3,12,12
FANNIN,coal,bus_7098,622.4,18.63,186.72,4,1867.1999999999998,43568.0,205.392,12,12
