Name,Bus,Fuel,Max_Cap,Min_Cap,MarginalCost
ODESSA,3048,NG (Natural Gas),95.5,28.65,17.68
WICHITAFALLS,3048,BIT (Bituminous Coal),806.0,241.8,16.918
SILVER,3048,NG (Natural Gas),537.7,161.31,20.58666666666667
GRAHAM,3048,NG (Natural Gas),634.7,190.4,17.99
PALOPINTO,3048,NG (Natural Gas),603.6,181.07999999999998,16.722
ODESSA_2,1001,NG (Natural Gas),1343.78,403.13999999999993,18.174999999999997
MONAHANS,1081,NG (Natural Gas),178.8,53.64,18.25
ODESSA_3,1081,NG (Natural Gas),286.5,85.95,19.0
MONAHANS_4,1048,NG (Natural Gas),918.5999999999999,275.58,18.288000000000004
SAVOY,2004,NG (Natural Gas),1175.4,352.62,28.58
SHERMAN,2004,NG (Natural Gas),803.19,240.95999999999998,27.34
PARIS,8129,NG (Natural Gas),1173.6000000000001,352.04999999999995,17.71428571428571
GREENVILLE,8129,NG (Natural Gas),84.7,25.41,17.15
MOUNTPLEASANT,8129,BIT (Bituminous Coal),1980.0,594.0,18.36
DENTON,5007,NG (Natural Gas),128.1,38.43,16.355
PARIS_5,2115,NG (Natural Gas),184.72,55.41,17.83
BASTROP,6349,NG (Natural Gas),1233.99,370.2,18.216
CEDARCREEK,6349,NG (Natural Gas),618.6899999999999,185.64,17.95
MISSION,4040,NG (Natural Gas),528.99,158.7,29.63
CHRISTINE,7406,BIT (Bituminous Coal),410.0,123.0,18.14
FANNIN,7406,BIT (Bituminous Coal),622.4,186.72,18.63
NURSERY,7406,NG (Natural Gas),215.2,64.56,16.803999999999995
VICTORIA,7406,NG (Natural Gas),479.29999999999995,143.78,17.58666666666667
POINTCOMFORT,7406,NG (Natural Gas),1062.5,318.75,17.408749999999998
WADSWORTH,7406,NUC (Nuclear),1354.3,406.29,7.76
WHARTON,7406,NG (Natural Gas),580.09,174.01,17.29
LAREDO,4147,NG (Natural Gas),263.6,79.08,29.13
SANTAROSA,4067,BIT (Bituminous Coal),200.5,60.14999999999999,17.22666666666667
BISHOP,4017,NG (Natural Gas),44.2,13.26,16.81
CORPUSCHRISTI,4017,NG (Natural Gas),253.77,76.13,17.083333333333332
GREGORY,4061,NG (Natural Gas),948.9900000000001,284.7,17.575
CORPUSCHRISTI_6,4061,NG (Natural Gas),395.54,118.66,17.84
CORPUSCHRISTI_7,4085,NG (Natural Gas),1082.2,324.65999999999997,18.33
PEARSALL,4015,NG (Natural Gas),267.6,80.28,28.155
BROWNSVILLE,4193,NG (Natural Gas),1522.71,456.80999999999995,17.536
ALEDO,5480,NG (Natural Gas),4.8,1.44,15.97
DALLAS,5385,NG (Natural Gas),1552.95,465.88000000000005,16.518571428571427
ENNIS,5385,NG (Natural Gas),418.0,125.4,16.44
DALLAS_8,5037,NG (Natural Gas),308.47,92.54,17.05
ARLINGTON,5067,NG (Natural Gas),1327.21,398.15999999999997,17.654
MCKINNEY,5444,NG (Natural Gas),894.65,268.4,17.588333333333335
MIDLOTHIAN,5444,NG (Natural Gas),2016.6,604.98,20.027500000000003
IRVING,5422,BIT (Bituminous Coal),16.5,4.95,17.985
LEWSIVILLE,5422,NG (Natural Gas),15.600000000000001,4.68,15.99
POOLVILLE,5364,NG (Natural Gas),746.01,223.79999999999998,17.55
BRIDGEPORT,5364,NG (Natural Gas),1290.38,387.12,17.13285714285714
GLENROSE,5262,NUC (Nuclear),2430.0,729.0,7.805000000000001
GRANBURY,5262,NG (Natural Gas),883.1999999999999,264.96,17.716666666666665
TEMPLE,8087,NG (Natural Gas),803.19,240.95999999999998,20.14
FRANKLIN,8087,BIT (Bituminous Coal),1795.4,538.62,20.96
BREMOND,8087,BIT (Bituminous Coal),349.2,104.76,19.12
MCKINNEY_9,5302,NG (Natural Gas),463.75,139.13,19.7
GRANBURY_10,5319,NG (Natural Gas),262.8,78.84,20.11
DALLAS_11,5323,NG (Natural Gas),852.21,255.66,16.9
RIESEL,5360,BIT (Bituminous Coal),1008.0,302.4,21.25
SANANTONIO,6199,NG (Natural Gas),247.0,74.1,15.591428571428574
MARION,6069,NG (Natural Gas),1088.22,326.4599999999999,17.78
LAGRANGE,6078,BIT (Bituminous Coal),1689.9900000000002,507.0,18.95
WINCHESTER,6078,NG (Natural Gas),242.0,72.6,17.103333333333335
ROCKDALE,6111,BIT (Bituminous Coal),1252.1,375.63,19.105
SANANTONIO_12,6147,NG (Natural Gas),3276.4,982.9200000000001,18.775000000000002
SEGUIN,6164,NG (Natural Gas),940.2,282.08,18.14
