Generator,Type,Time,Value
WICHITAFALLS,Coal,1,806.0
WICHITAFALLS,Coal,2,806.0
WICHITAFALLS,Coal,3,806.0
WICHITAFALLS,Coal,4,806.0
WICHITAFALLS,Coal,5,806.0
WICHITAFALLS,Coal,6,806.0
WICHITAFALLS,Coal,7,806.0
WICHITAFALLS,Coal,8,806.0
WICHITAFALLS,Coal,9,806.0
WICHITAFALLS,Coal,10,806.0
WICHITAFALLS,Coal,11,806.0
WICHITAFALLS,Coal,12,806.0
WICHITAFALLS,Coal,13,806.0
WICHITAFALLS,Coal,14,806.0
WICHITAFALLS,Coal,15,806.0
WICHITAFALLS,Coal,16,806.0
WICHITAFALLS,Coal,17,806.0
WICHITAFALLS,Coal,18,806.0
WICHITAFALLS,Coal,19,806.0
WICHITAFALLS,Coal,20,806.0
WICHITAFALLS,Coal,21,806.0
WICHITAFALLS,Coal,22,806.0
WICHITAFALLS,Coal,23,806.0
WICHITAFALLS,Coal,24,806.0
MOUNTPLEASANT,Coal,1,0.0
MOUNTPLEASANT,Coal,2,0.0
MOUNTPLEASANT,Coal,3,0.0
MOUNTPLEASANT,Coal,4,0.0
MOUNTPLEASANT,Coal,5,0.0
MOUNTPLEASANT,Coal,6,0.0
MOUNTPLEASANT,Coal,7,0.0
MOUNTPLEASANT,Coal,8,0.0
MOUNTPLEASANT,Coal,9,0.0
MOUNTPLEASANT,Coal,10,0.0
MOUNTPLEASANT,Coal,11,0.0
MOUNTPLEASANT,Coal,12,0.0
MOUNTPLEASANT,Coal,13,0.0
MOUNTPLEASANT,Coal,14,0.0
MOUNTPLEASANT,Coal,15,0.0
MOUNTPLEASANT,Coal,16,0.0
MOUNTPLEASANT,Coal,17,0.0
MOUNTPLEASANT,Coal,18,0.0
MOUNTPLEASANT,Coal,19,0.0
MOUNTPLEASANT,Coal,20,0.0
MOUNTPLEASANT,Coal,21,0.0
MOUNTPLEASANT,Coal,22,0.0
MOUNTPLEASANT,Coal,23,0.0
MOUNTPLEASANT,Coal,24,0.0
CHRISTINE,Coal,1,0.0
CHRISTINE,Coal,2,0.0
CHRISTINE,Coal,3,0.0
CHRISTINE,Coal,4,0.0
CHRISTINE,Coal,5,0.0
CHRISTINE,Coal,6,0.0
CHRISTINE,Coal,7,0.0
CHRISTINE,Coal,8,0.0
CHRISTINE,Coal,9,0.0
CHRISTINE,Coal,10,0.0
CHRISTINE,Coal,11,0.0
CHRISTINE,Coal,12,0.0
CHRISTINE,Coal,13,0.0
CHRISTINE,Coal,14,0.0
CHRISTINE,Coal,15,0.0
CHRISTINE,Coal,16,0.0
CHRISTINE,Coal,17,0.0
