Name,Bus,Fuel,Max_Cap,Min_Cap,MarginalCost
MONAHANS,1048,NG (Natural Gas),325.2,97.56,19.26
MONAHANS_2,1049,NG (Natural Gas),325.2,97.56,19.26
MONAHANS_3,1050,NG (Natural Gas),89.4,26.82,17.64
MONAHANS_4,1051,NG (Natural Gas),89.4,26.82,17.64
MONAHANS_5,1052,NG (Natural Gas),89.4,26.82,17.64
MONAHANS_6,1053,NG (Natural Gas),178.8,53.64,18.25
IRAAN,1059,NG (Natural Gas),5.6,1.68,17.06
IRAAN_7,1001,NG (Natural Gas),162.5,48.75,8.515
ODESSA,1001,NG (Natural Gas),1630.28,489.0899999999999,18.266666666666666
ODESSA_8,5262,NG (Natural Gas),95.5,28.65,17.68
WICHITAFALLS,5262,BIT (Bituminous Coal),806.0,241.8,16.918
SILVER,5262,NG (Natural Gas),537.7,161.31,20.58666666666667
ALEDO,5262,NG (Natural Gas),4.8,1.44,15.97
GRAHAM,5262,NG (Natural Gas),634.7,190.4,17.99
GLENROSE,5262,NUC (Nuclear),2430.0,729.0,7.805000000000001
GRANBURY,5262,NG (Natural Gas),1146.0000000000002,343.8,18.058571428571426
PALOPINTO,5262,NG (Natural Gas),603.6,181.07999999999998,16.722
SAVOY,5084,NG (Natural Gas),1175.4,352.62,28.58
SHERMAN,5084,NG (Natural Gas),803.19,240.95999999999998,27.34
PARIS,8129,NG (Natural Gas),1358.3200000000002,407.4599999999999,17.728749999999998
GREENVILLE,8129,NG (Natural Gas),84.7,25.41,17.15
MTENTERPRISE,8129,NG (Natural Gas),939.6,281.88,16.6
MOUNTPLEASANT,8129,BIT (Bituminous Coal),1980.0,594.0,18.36
DENTON,5007,NG (Natural Gas),128.1,38.43,16.355
POOLVILLE,5007,NG (Natural Gas),746.01,223.79999999999998,17.55
BRIDGEPORT,5007,NG (Natural Gas),1290.38,387.12,17.13285714285714
BASTROP,6349,NG (Natural Gas),1233.99,370.2,18.216
MARION,6349,NG (Natural Gas),1088.22,326.4599999999999,17.78
CEDARCREEK,6349,NG (Natural Gas),618.6899999999999,185.64,17.95
MISSION,4040,NG (Natural Gas),528.99,158.7,29.63
CHRISTINE,6199,BIT (Bituminous Coal),410.0,123.0,18.14
PEARSALL,6199,NG (Natural Gas),267.6,80.28,28.155
SANANTONIO,6199,NG (Natural Gas),247.0,74.1,15.591428571428574
FANNIN,7098,BIT (Bituminous Coal),622.4,186.72,18.63
NURSERY,7098,NG (Natural Gas),215.2,64.56,16.803999999999995
VICTORIA,7098,NG (Natural Gas),479.29999999999995,143.78,17.58666666666667
POINTCOMFORT,7098,NG (Natural Gas),1062.5,318.75,17.408749999999998
WADSWORTH,7098,NUC (Nuclear),2708.6,812.58,7.55
WHARTON,7098,NG (Natural Gas),580.09,174.01,17.29
LAREDO,4147,NG (Natural Gas),263.6,79.08,29.13
SANTAROSA,4071,BIT (Bituminous Coal),200.5,60.14999999999999,17.22666666666667
BROWNSVILLE,4071,NG (Natural Gas),1522.71,456.80999999999995,17.536
BISHOP,4017,NG (Natural Gas),44.2,13.26,16.81
GREGORY,4017,NG (Natural Gas),948.9900000000001,284.7,17.575
CORPUSCHRISTI,4017,NG (Natural Gas),649.3100000000001,194.78999999999996,17.386000000000003
CORPUSCHRISTI_9,4085,NG (Natural Gas),1082.2,324.65999999999997,18.33
DALLAS,5385,NG (Natural Gas),1552.95,465.88000000000005,16.518571428571427
ENNIS,5385,NG (Natural Gas),418.0,125.4,16.44
DALLAS_10,5037,NG (Natural Gas),308.47,92.54,17.05
ARLINGTON,5323,NG (Natural Gas),1327.21,398.15999999999997,17.654
IRVING,5323,BIT (Bituminous Coal),16.5,4.95,17.985
DALLAS_11,5323,NG (Natural Gas),852.21,255.66,16.9
MCKINNEY,5444,NG (Natural Gas),1358.4,407.53,17.89
MIDLOTHIAN,5444,NG (Natural Gas),2016.6,604.98,20.027500000000003
TEMPLE,8087,NG (Natural Gas),803.19,240.95999999999998,20.14
RIESEL,8087,BIT (Bituminous Coal),1008.0,302.4,21.25
ROCKDALE,8087,BIT (Bituminous Coal),1252.1,375.63,19.105
FRANKLIN,8087,BIT (Bituminous Coal),1795.4,538.62,20.96
BREMOND,8087,BIT (Bituminous Coal),349.2,104.76,19.12
LEWSIVILLE,5465,NG (Natural Gas),15.600000000000001,4.68,15.99
LAGRANGE,6005,BIT (Bituminous Coal),1689.9900000000002,507.0,18.95
WINCHESTER,6005,NG (Natural Gas),242.0,72.6,17.103333333333335
SANANTONIO_12,6147,NG (Natural Gas),3276.4,982.9200000000001,18.775000000000002
SEGUIN,6147,NG (Natural Gas),940.2,282.08,18.14
ELMENDORF,6147,NG (Natural Gas),1687.9899999999998,506.40000000000003,16.68875
