Name,Bus,Fuel,Max_Cap,Min_Cap,MarginalCost
SNYDER,1004,NG (Natural Gas),153.89999999999998,46.17,19.59
MONAHANS,1048,NG (Natural Gas),325.2,97.56,19.26
MONAHANS_2,1049,NG (Natural Gas),325.2,97.56,19.26
MONAHANS_3,1050,NG (Natural Gas),89.4,26.82,17.64
MONAHANS_4,1051,NG (Natural Gas),89.4,26.82,17.64
MONAHANS_5,1052,NG (Natural Gas),89.4,26.82,17.64
MONAHANS_6,1053,NG (Natural Gas),178.8,53.64,18.25
IRAAN,1059,NG (Natural Gas),5.6,1.68,17.06
IRAAN_7,1060,NG (Natural Gas),2.0,0.6,17.03
ODESSA,1001,NG (Natural Gas),1343.78,403.13999999999993,18.174999999999997
ODESSA_8,3048,NG (Natural Gas),95.5,28.65,17.68
SILVER,3048,NG (Natural Gas),90.7,27.21,19.545
PALOPINTO,3048,NG (Natural Gas),481.6,144.48000000000002,16.72
ODESSA_9,1081,NG (Natural Gas),286.5,85.95,19.0
SAVOY,2004,NG (Natural Gas),1175.4,352.62,28.58
PARIS,8129,NG (Natural Gas),1173.6000000000001,352.04999999999995,17.71428571428571
GREENVILLE,8129,NG (Natural Gas),84.7,25.41,17.15
MOUNTPLEASANT,8129,BIT (Bituminous Coal),1980.0,594.0,18.36
WICHITAFALLS,2057,BIT (Bituminous Coal),806.0,241.8,16.918
DENTON,5175,NG (Natural Gas),128.1,38.43,16.355
SHERMAN,2103,NG (Natural Gas),803.19,240.95999999999998,27.34
PARIS_10,2115,NG (Natural Gas),184.72,55.41,17.83
SILVER_11,3045,NG (Natural Gas),447.0,134.1,22.67
BASTROP,6349,NG (Natural Gas),1233.99,370.2,18.216
CHRISTINE,4026,BIT (Bituminous Coal),410.0,123.0,18.14
FANNIN,4030,BIT (Bituminous Coal),622.4,186.72,18.63
SANTAROSA,4194,BIT (Bituminous Coal),200.5,60.14999999999999,17.22666666666667
BISHOP,4020,NG (Natural Gas),44.2,13.26,16.81
CORPUSCHRISTI,4020,NG (Natural Gas),47.0,14.1,16.83
GREGORY,4181,NG (Natural Gas),776.6600000000001,233.0,17.556
CORPUSCHRISTI_12,4181,NG (Natural Gas),602.3100000000001,180.69,17.525
GREGORY_13,4061,NG (Natural Gas),172.33,51.7,17.67
MISSION,4075,NG (Natural Gas),176.33,52.9,29.63
MISSION_14,4040,NG (Natural Gas),352.66,105.8,29.63
CORPUSCHRISTI_15,4085,NG (Natural Gas),1082.2,324.65999999999997,18.33
LAREDO,4115,NG (Natural Gas),131.8,39.54,29.13
LAREDO_16,4190,NG (Natural Gas),131.8,39.54,29.13
PEARSALL,4137,NG (Natural Gas),267.6,80.28,28.155
BROWNSVILLE,4193,NG (Natural Gas),1522.71,456.80999999999995,17.536
ALEDO,5022,NG (Natural Gas),4.8,1.44,15.97
DALLAS,5385,NG (Natural Gas),1552.95,465.88000000000005,16.518571428571427
DALLAS_17,5037,NG (Natural Gas),308.47,92.54,17.05
GRAHAM,5057,NG (Natural Gas),634.7,190.4,17.99
ARLINGTON,5067,NG (Natural Gas),1327.21,398.15999999999997,17.654
IRVING,5422,BIT (Bituminous Coal),16.5,4.95,17.985
LEWSIVILLE,5422,NG (Natural Gas),15.600000000000001,4.68,15.99
POOLVILLE,5206,NG (Natural Gas),746.01,223.79999999999998,17.55
GLENROSE,5262,NUC (Nuclear),2430.0,729.0,7.805000000000001
GRANBURY,5262,NG (Natural Gas),883.1999999999999,264.96,17.716666666666665
TEMPLE,5281,NG (Natural Gas),803.19,240.95999999999998,20.14
MCKINNEY,5444,NG (Natural Gas),894.65,268.4,17.588333333333335
MIDLOTHIAN,5444,NG (Natural Gas),2016.6,604.98,20.027500000000003
MCKINNEY_18,5302,NG (Natural Gas),463.75,139.13,19.7
GRANBURY_19,5319,NG (Natural Gas),262.8,78.84,20.11
DALLAS_20,5323,NG (Natural Gas),852.21,255.66,16.9
RIESEL,5360,BIT (Bituminous Coal),1008.0,302.4,21.25
BRIDGEPORT,5364,NG (Natural Gas),1290.38,387.12,17.13285714285714
ENNIS,5382,NG (Natural Gas),418.0,125.4,16.44
PALOPINTO_21,5415,NG (Natural Gas),122.0,36.6,16.73
SANANTONIO,6199,NG (Natural Gas),247.0,74.1,15.591428571428574
MARION,6069,NG (Natural Gas),1088.22,326.4599999999999,17.78
LAGRANGE,6078,BIT (Bituminous Coal),1689.9900000000002,507.0,18.95
WINCHESTER,6106,NG (Natural Gas),242.0,72.6,17.103333333333335
ROCKDALE,6111,BIT (Bituminous Coal),1252.1,375.63,19.105
SANANTONIO_22,6147,NG (Natural Gas),3276.4,982.9200000000001,18.775000000000002
SEGUIN,6164,NG (Natural Gas),940.2,282.08,18.14
ELMENDORF,7406,NG (Natural Gas),1687.9899999999998,506.40000000000003,16.68875
NURSERY,7406,NG (Natural Gas),215.2,64.56,16.803999999999995
VICTORIA,7406,NG (Natural Gas),290.85,87.25,17.490000000000002
POINTCOMFORT,7406,NG (Natural Gas),1062.5,318.75,17.408749999999998
WADSWORTH,7406,NUC (Nuclear),1354.3,406.29,7.76
CEDARCREEK,6295,NG (Natural Gas),618.6899999999999,185.64,17.95
NEWBRAUNFELS,6302,NG (Natural Gas),992.2,297.68,17.892
PASADENA,7400,NG (Natural Gas),1273.2,381.96000000000004,16.901428571428575
