Name,Bus,Fuel,Max_Cap,Min_Cap,MarginalCost
ODESSA,5262,NG (Natural Gas),95.5,28.65,17.68
WICHITAFALLS,5262,BIT (Bituminous Coal),806.0,241.8,16.918
SILVER,5262,NG (Natural Gas),537.7,161.31,20.58666666666667
ALEDO,5262,NG (Natural Gas),4.8,1.44,15.97
GRAHAM,5262,NG (Natural Gas),634.7,190.4,17.99
GLENROSE,5262,NUC (Nuclear),2430.0,729.0,7.805000000000001
GRANBURY,5262,NG (Natural Gas),1146.0000000000002,343.8,18.058571428571426
PALOPINTO,5262,NG (Natural Gas),603.6,181.07999999999998,16.722
MONAHANS,1001,NG (Natural Gas),1097.3999999999999,329.21999999999997,18.28166666666667
ODESSA_2,1001,NG (Natural Gas),1630.28,489.0899999999999,18.266666666666666
SAVOY,5084,NG (Natural Gas),1175.4,352.62,28.58
SHERMAN,5084,NG (Natural Gas),803.19,240.95999999999998,27.34
PARIS,2001,NG (Natural Gas),1358.3200000000002,407.4599999999999,17.728749999999998
DENTON,5007,NG (Natural Gas),128.1,38.43,16.355
POOLVILLE,5007,NG (Natural Gas),746.01,223.79999999999998,17.55
BRIDGEPORT,5007,NG (Natural Gas),1290.38,387.12,17.13285714285714
BASTROP,6018,NG (Natural Gas),1233.99,370.2,18.216
MARION,6018,NG (Natural Gas),1088.22,326.4599999999999,17.78
ROCKDALE,6018,BIT (Bituminous Coal),1252.1,375.63,19.105
CEDARCREEK,6018,NG (Natural Gas),618.6899999999999,185.64,17.95
NEWBRAUNFELS,6018,NG (Natural Gas),992.2,297.68,17.892
MISSION,4040,NG (Natural Gas),528.99,158.7,29.63
LAREDO,4040,NG (Natural Gas),263.6,79.08,29.13
CHRISTINE,6199,BIT (Bituminous Coal),410.0,123.0,18.14
PEARSALL,6199,NG (Natural Gas),267.6,80.28,28.155
SANANTONIO,6199,NG (Natural Gas),247.0,74.1,15.591428571428574
FANNIN,7098,BIT (Bituminous Coal),622.4,186.72,18.63
NURSERY,7098,NG (Natural Gas),215.2,64.56,16.803999999999995
VICTORIA,7098,NG (Natural Gas),479.29999999999995,143.78,17.58666666666667
POINTCOMFORT,7098,NG (Natural Gas),1062.5,318.75,17.408749999999998
WADSWORTH,7098,NUC (Nuclear),2708.6,812.58,7.55
WHARTON,7098,NG (Natural Gas),580.09,174.01,17.29
CORPUSCHRISTI,4071,NG (Natural Gas),730.2,219.06,18.15
SANTAROSA,4071,BIT (Bituminous Coal),200.5,60.14999999999999,17.22666666666667
BROWNSVILLE,4071,NG (Natural Gas),1522.71,456.80999999999995,17.536
BISHOP,4017,NG (Natural Gas),44.2,13.26,16.81
GREGORY,4017,NG (Natural Gas),948.9900000000001,284.7,17.575
CORPUSCHRISTI_3,4017,NG (Natural Gas),1001.31,300.38999999999993,17.633333333333336
DALLAS,5385,NG (Natural Gas),1861.42,558.4200000000001,16.585
ENNIS,5385,NG (Natural Gas),418.0,125.4,16.44
MIDLOTHIAN,5385,NG (Natural Gas),2016.6,604.98,20.027500000000003
GREENVILLE,5103,NG (Natural Gas),84.7,25.41,17.15
MCKINNEY,5103,NG (Natural Gas),1358.4,407.53,17.89
MTENTERPRISE,5103,NG (Natural Gas),939.6,281.88,16.6
MOUNTPLEASANT,5103,BIT (Bituminous Coal),1980.0,594.0,18.36
ARLINGTON,5323,NG (Natural Gas),1327.21,398.15999999999997,17.654
IRVING,5323,BIT (Bituminous Coal),16.5,4.95,17.985
DALLAS_4,5323,NG (Natural Gas),852.21,255.66,16.9
TEMPLE,5011,NG (Natural Gas),803.19,240.95999999999998,20.14
RIESEL,5011,BIT (Bituminous Coal),1008.0,302.4,21.25
FRANKLIN,5011,BIT (Bituminous Coal),1795.4,538.62,20.96
BREMOND,5011,BIT (Bituminous Coal),349.2,104.76,19.12
