Number,AreaName,Name,NomkV,Vpu,kV,Vangle,LoadMW,LoadMvar,GenMW,GenMvar,ShuntMvar,ActG,ActB,AreaNumber,ZoneName,ZoneNumber,Substation Longitude,Substation Latitude
10013,Far West,ODESSA 2 0,115.0,0.97944,112.635,-22.73,20.78,5.89,,,,0,0,1,Far West Texas,9,-102.253348,31.8945109
10023,Far West,PRESIDIO 2 0,115.0,1.01274,116.465,-18.09,15.41,4.37,,,,0,0,1,Far West Texas,9,-104.510139,29.87868196
10033,Far West,O DONNELL 1 0,115.0,1.00926,116.065,-17.09,,,,,,0,0,1,Far West Texas,9,-101.626178,32.91732335
10043,Far West,O DONNELL 1 1,230.0,1.01307,233.006,-18.93,,,158.25,-30.38,,0,0,1,Far West Texas,9,-101.636978,32.91732335
10053,Far West,BIG SPRING 5 0,115.0,1.00558,115.641,-16.08,,,,,,0,0,1,Far West Texas,9,-101.379333,32.19531502
10063,Far West,BIG SPRING 5 1,13.8,1.0,13.8,-13.91,,,25.73,-4.35,,0,0,1,Far West Texas,9,-101.384733,32.19059289
10073,Far West,VAN HORN 0,115.0,1.02,117.3,-18.47,7.01,1.99,,,-0.85,0,0,1,Far West Texas,9,-104.615514,31.08268969
10083,Far West,IRAAN 2 0,115.0,1.01929,117.218,-8.61,,,,,,0,0,1,Far West Texas,9,-102.192433,30.92065834
10093,Far West,IRAAN 2 1,13.8,1.00924,13.928,-5.31,,,61.87,-11.88,,0,0,1,Far West Texas,9,-102.197833,30.91741549
10103,Far West,PRESIDIO 1 0,115.0,1.02,117.3,-16.79,,,,,-3.2,0,0,1,Far West Texas,9,-104.291,29.58747851
10113,Far West,PRESIDIO 1 1,22.0,1.02021,22.445,-15.01,,,9.97,0.0,,0,0,1,Far West Texas,9,-104.2964,29.582626
10123,Far West,SANDERSON 0,115.0,1.00599,115.689,-25.34,2.99,0.85,,,9.61,0,0,1,Far West Texas,9,-101.961461,30.01871614
10133,Far West,MONAHANS 2 0,115.0,1.00568,115.653,-15.44,29.23,8.28,,,,0,0,1,Far West Texas,9,-103.152046,31.47384035
10143,Far West,GRANDFALLS 0,115.0,1.01235,116.42,-11.91,2.22,0.63,,,,0,0,1,Far West Texas,9,-103.076134,31.16028165
10153,Far West,MARFA 0,115.0,1.02182,117.509,-18.21,7.51,2.13,,,,0,0,1,Far West Texas,9,-103.996761,30.27596949
10163,Far West,GARDEN CITY 0,115.0,1.01741,117.002,-15.49,2.89,0.82,,,31.05,0,0,1,Far West Texas,9,-101.492775,31.75389204
10173,Far West,ODESSA 4 0,115.0,0.98167,112.892,-21.43,18.34,5.2,,,,0,0,1,Far West Texas,9,-102.404607,31.71292185
10183,Far West,NOTREES 0,115.0,0.99115,113.982,-20.22,0.07,0.02,,,,0,0,1,Far West Texas,9,-102.623933,31.78999163
10193,Far West,MIDLAND 4 0,115.0,0.99949,114.942,-22.32,61.78,17.5,,,142.83,0,0,1,Far West Texas,9,-102.123366,31.96568452
10203,Far West,BIG SPRING 1 0,115.0,1.02,117.3,-15.23,,,,,69.95,0,0,1,Far West Texas,9,-101.1077,31.97875948
10213,Far West,BIG SPRING 1 1,13.8,1.0,13.8,-8.61,,,149.63,-23.15,,0,0,1,Far West Texas,9,-101.1131,31.97249921
10223,Far West,O DONNELL 2 0,115.0,1.01242,116.429,-16.2,,,,,,0,0,1,Far West Texas,9,-101.569617,32.91692662
10233,Far West,O DONNELL 2 1,13.8,1.01,13.938,-7.3,,,135.0,2.26,,0,0,1,Far West Texas,9,-101.575017,32.91224231
10243,Far West,ODESSA 6 0,115.0,0.9945,114.367,-19.2,63.04,17.86,,,,0,0,1,Far West Texas,9,-102.621882,31.96014956
10253,Far West,BIG SPRINGS 0,115.0,1.01629,116.873,-14.17,,,,,,0,0,1,Far West Texas,9,-101.211,32.02831853
10263,Far West,BIG SPRINGS 1,13.8,1.0,13.8,-4.64,,,93.15,-3.42,,0,0,1,Far West Texas,9,-101.2164,32.02511383
10273,Far West,MIDLAND 2 0,115.0,1.0053,115.61,-25.83,101.21,28.68,,,75.8,0,0,1,Far West Texas,9,-102.033298,32.31102463
10283,Far West,COAHOMA 0,115.0,1.01542,116.773,-17.72,10.01,2.84,,,,0,0,1,Far West Texas,9,-101.237784,32.86741686
