BusNum,BusName,AreaName,ID,Status,AGC,MW,MWMin,MWMax,CostModel,FixedCostInd,FixedCostDep,CubicB,CubicC,CubicD,FuelCost,VariableOM,FuelType,UnitType,CostShift,CostMultiplier,BidMW:0,BidMWHr:0,BidMW:1,BidMWHr:1,BidMW:2,BidMWHr:2,BidMW:3,BidMWHr:3,BidMW:4,BidMWHr:4,BidMW:5,BidMWHr:5,BidMW:6,BidMWHr:6,BidMW:7,BidMWHr:7,BidMW:8,BidMWHr:8,BidMW:9,BidMWHr:9,BidMW:10,BidMWHr:10,BidMW:11,BidMWHr:11,BidMW:12,BidMWHr:12,BidMW:13,BidMWHr:13,BidMW:14,BidMWHr:14,BidMW:15,BidMWHr:15,BidMW:16,BidMWHr:16,BidMW:17,BidMWHr:17,BidMW:18,BidMWHr:18,BidMW:19,BidMWHr:19,Heat Rate MBTU/MWH
1004,O DONNELL 1 1,Far West,1,Closed,NO,158.25,63.3,211.0,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,63.3,0.0,92.84,0.0,122.38,0.0,151.92,0.0,181.46,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1006,BIG SPRING 5 1,Far West,1,Closed,NO,25.73,10.29,34.3,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,10.29,0.0,15.09,0.0,19.89,0.0,24.7,0.0,29.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1009,IRAAN 2 1,Far West,1,Closed,NO,61.87,24.75,82.5,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,24.75,0.0,36.3,0.0,47.85,0.0,59.4,0.0,70.95,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1011,PRESIDIO 1 1,Far West,1,Closed,YES,9.97,3.0,10.0,Cubic,0.0,0,0.0,0.0,0,0.0,0,SUN (Solar),PV (Photovoltaic),0,1,3.0,0.0,4.4,0.0,5.8,0.0,7.2,0.0,8.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1021,BIG SPRING 1 1,Far West,1,Closed,NO,149.63,59.85,199.5,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,59.85,0.0,87.78,0.0,115.71,0.0,143.64,0.0,171.57,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1023,O DONNELL 2 1,Far West,1,Closed,NO,135.0,54.0,180.0,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,54.0,0.0,79.2,0.0,104.4,0.0,129.6,0.0,154.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1026,BIG SPRINGS 1,Far West,1,Closed,NO,93.15,37.26,124.2,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,37.26,0.0,54.65,0.0,72.04,0.0,89.42,0.0,106.81,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1033,MCCAMEY 1 1,Far West,1,Closed,NO,208.5,83.4,278.0,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,83.4,0.0,122.32,0.0,161.24,0.0,200.16,0.0,239.08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1035,BIG SPRING 4 1,Far West,1,Closed,NO,67.5,27.0,90.0,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,27.0,0.0,39.6,0.0,52.2,0.0,64.8,0.0,77.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1039,FORT STOCKTON 1 1,Far West,1,Closed,NO,110.63,44.25,147.5,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,44.25,0.0,64.9,0.0,85.55,0.0,106.2,0.0,126.85,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1042,FORSAN 1,Far West,1,Open,NO,0.0,36.57,121.9,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,36.57,0.0,53.64,0.0,70.7,0.0,87.77,0.0,104.83,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1043,FORSAN 2,Far West,1,Closed,NO,44.1,17.64,58.8,Cubic,0.0,0,0.0,0.0,0,0.0,0,WND (Wind),"W2 (Wind Turbine, Type 2)",0,1,17.64,0.0,25.87,0.0,34.1,0.0,42.34,0.0,50.57,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1048,MONAHANS 1 1,Far West,1,Open,YES,0.0,97.56,325.2,Cubic,1087.8,0,5.007,0.0004,0,3.723,0,NG (Natural Gas),GT (Gas Turbine),0,1,97.56,18.99,143.09,19.13,188.62,19.26,234.14,19.4,279.67,19.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2237929094257
1049,MONAHANS 1 2,Far West,1,Open,YES,0.0,97.56,325.2,Cubic,1087.8,0,5.007,0.0004,0,3.723,0,NG (Natural Gas),GT (Gas Turbine),0,1,97.56,18.99,143.09,19.13,188.62,19.26,234.14,19.4,279.67,19.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2237929094257
